�����Ͻ�,���޴ɷ�(MW),�������(MW),�ִ뿹������(MW),���޿����(MW),���޿�����(%),������(MW),�������(%)
20260227162500,91268.6,67995.6,74100.0,23273.0,34.2272,14757.4,21.142
20260227163000,91205.7,68102.0,74100.0,23103.8,33.9253,14615.0,20.9144
20260227163500,91259.1,68108.4,74100.0,23150.8,33.9911,14764.5,21.2352
20260227164000,91211.6,68521.2,74100.0,22690.3,33.1143,14831.0,21.2073
20260227164500,91116.8,68650.7,74100.0,22466.1,32.7252,14590.2,20.8405
20260227165000,91087.2,68545.4,74100.0,22541.9,32.8861,14654.8,20.9663
20260227165500,90959.8,68514.6,74100.0,22445.1,32.7596,14529.3,20.827
20260227170000,90935.7,68576.3,74100.0,22359.4,32.6051,14536.1,20.8184
20260227170500,91205.9,68428.8,74100.0,22777.1,33.2858,14841.5,21.2657
20260227171000,91087.7,68671.5,74100.0,22416.1,32.6425,14830.1,21.2015
20260227171500,91102.9,68662.3,74100.0,22440.6,32.6826,15014.2,21.4552
20260227172000,91020.8,68927.9,74100.0,22092.9,32.0522,14699.9,20.9358
20260227172500,91067.3,69360.5,74100.0,21706.9,31.2957,14430.6,20.4028
20260227173000,90950.4,69565.8,74100.0,21384.6,30.74,14235.9,20.0893
20260227173500,90971.7,69736.6,74100.0,21235.1,30.4504,14332.3,20.1624
20260227174000,90847.0,70017.8,74100.0,20829.2,29.7484,14070.3,19.7254
20260227174500,90729.4,70148.8,74100.0,20580.7,29.3386,13886.1,19.4483
20260227175000,90653.0,70316.3,74100.0,20336.6,28.9216,13511.2,18.8906
20260227175500,89806.1,69653.3,74100.0,20152.7,28.9329,13474.0,18.9767
20260227180000,89573.5,69738.6,74100.0,19835.0,28.4419,13506.3,19.0277
20260227180500,89914.8,69701.9,74100.0,20212.9,28.9991,13814.5,19.4373
20260227181000,89834.8,69896.9,74100.0,19937.9,28.5247,13649.4,19.1522
20260227181500,89744.7,70022.9,74100.0,19721.8,28.1648,13446.2,18.8414
20260227182000,89726.4,70263.4,74100.0,19463.0,27.7,13150.4,18.3575
20260227182500,89678.2,70501.6,74100.0,19176.6,27.2003,12889.2,17.9348
20260227183000,89569.7,70747.1,74100.0,18822.6,26.6055,12552.5,17.4214
20260227183500,89610.8,70952.8,74100.0,18658.0,26.2964,12314.0,17.0398
20260227184000,89616.7,71145.1,74100.0,18471.7,25.9634,12302.7,16.9614
20260227184500,89464.2,70974.9,74100.0,18489.4,26.0506,12504.3,17.3005
20260227185000,89451.4,70786.8,74100.0,18664.6,26.3673,12767.7,17.7106
20260227185500,89484.9,70807.6,74100.0,18677.4,26.3776,12758.6,17.6783
20260227190000,89433.6,70789.2,74100.0,18644.4,26.3379,12801.2,17.7521
20260227190500,89771.7,70832.5,74100.0,18939.2,26.7379,13020.9,18.0359
20260227191000,89784.4,70915.5,74100.0,18868.9,26.6076,12731.5,17.6128
20260227191500,89691.4,70635.2,74100.0,19056.2,26.9783,12832.5,17.8546
20260227192000,89752.3,70547.1,74100.0,19205.2,27.2232,12888.9,17.9329
20260227192500,89731.7,70559.2,74100.0,19172.5,27.1722,12321.8,17.1466
20260227193000,89663.9,70274.6,74100.0,19389.3,27.5907,12020.7,16.8055
20260227193500,89685.9,70199.5,74100.0,19486.4,27.7586,12109.8,16.9426
20260227194000,89754.5,70241.9,74100.0,19512.7,27.7793,11845.3,16.5492
20260227194500,89626.2,70003.8,74100.0,19622.5,28.0306,11863.6,16.6569
20260227195000,88587.4,69732.7,74100.0,18854.8,27.0386,12135.6,17.092
20260227195500,88569.8,69506.6,74100.0,19063.2,27.4265,12258.4,17.325
20260227200000,88595.6,69591.3,74100.0,19004.3,27.3085,12226.1,17.2402
20260227200500,88446.9,69293.9,74100.0,19153.0,27.6402,12781.6,18.1159
20260227201000,88473.1,69047.8,74100.0,19425.3,28.1332,12623.8,17.9455
20260227201500,88452.8,69275.2,74100.0,19177.7,27.6833,12422.8,17.6037
20260227202000,88444.7,68868.3,74100.0,19576.3,28.4257,12449.5,17.7444
20260227202500,88413.2,68727.5,74100.0,19685.7,28.6431,12076.0,17.2507
20260227203000,88320.8,68579.3,74100.0,19741.5,28.7863,11974.1,17.1599
20260227203500,88389.9,68475.9,74100.0,19913.9,29.0816,12034.1,17.2516
20260227204000,88389.6,68356.3,74100.0,20033.3,29.3071,12156.4,17.4468
20260227204500,88398.2,68109.2,74100.0,20289.0,29.7889,12228.3,17.6096
20260227205000,88394.3,67962.6,74100.0,20431.7,30.0631,12279.5,17.7191
20260227205500,88378.5,67791.9,74100.0,20586.6,30.3673,12248.8,17.7344
20260227210000,88398.8,67670.8,74100.0,20728.0,30.6306,12303.1,17.8307
20260227210500,88337.7,67684.7,74100.0,20653.0,30.5136,12476.2,18.0935
20260227211000,88311.5,67486.7,74100.0,20824.8,30.8576,12530.0,18.2284
20260227211500,88293.3,67276.1,74100.0,21017.2,31.2402,12818.9,18.7052
20260227212000,88214.5,67180.1,74100.0,21034.4,31.3105,12918.8,18.8948
20260227212500,88138.5,66802.2,74100.0,21336.3,31.9395,12718.7,18.7293
20260227213000,88348.8,66702.2,74100.0,21646.6,32.4526,12880.3,18.9341
20260227213500,88320.9,66259.8,74100.0,22061.1,33.2948,13157.3,19.4895
20260227214000,88318.4,66199.0,74100.0,22119.4,33.4136,13232.2,19.6128
20260227214500,88299.5,66017.0,74100.0,22282.5,33.7526,13321.0,19.8119
20260227215000,88302.5,66075.8,74100.0,22226.8,33.6383,13248.9,19.6795
20260227215500,88234.8,65830.1,74100.0,22404.7,34.0342,13469.5,20.1023
20260227220000,88177.7,65805.0,74100.0,22372.7,33.9985,13411.3,20.0252
20260227220500,88260.0,66367.0,74100.0,21893.0,32.9877,13055.4,19.3609
20260227221000,88257.9,66495.6,74100.0,21762.2,32.7273,12954.1,19.1718
20260227221500,88341.9,66658.7,74100.0,21683.2,32.5287,12741.2,18.7788
20260227222000,88332.0,66629.8,74100.0,21702.2,32.5714,12736.1,18.791
20260227222500,88359.4,66045.3,74100.0,22314.1,33.786,13287.9,19.7604
20260227223000,88284.8,66150.3,74100.0,22134.4,33.4608,13106.7,19.4883
20260227223500,88263.2,66157.2,74100.0,22106.0,33.4144,13162.9,19.5767
20260227224000,88272.0,65992.8,74100.0,22279.2,33.7601,13194.3,19.6684
20260227224500,88279.5,66014.8,74100.0,22264.7,33.7269,13239.4,19.7284
20260227225000,88320.4,65902.7,74100.0,22417.7,34.0163,13565.2,20.225
20260227225500,88276.3,65581.4,74100.0,22694.9,34.6057,13481.7,20.2175
20260227230000,88334.5,65692.6,74100.0,22641.8,34.4664,13347.3,19.9544
20260227230500,87838.4,66076.6,74100.0,21761.8,32.9342,12759.1,18.9646
20260227231000,87868.5,66069.9,74100.0,21798.6,32.9933,12542.1,18.6495
20260227231500,88464.7,65826.5,74100.0,22638.1,34.3906,12695.6,18.9479
20260227232000,88707.8,65911.3,74100.0,22796.4,34.5865,12111.5,18.0754
20260227232500,88547.3,65660.5,74100.0,22886.8,34.8562,12404.2,18.5841
20260227233000,88593.2,65443.3,74100.0,23149.9,35.3739,12707.6,19.0887
20260227233500,88660.0,65108.6,74100.0,23551.4,36.1725,12680.7,19.1256
20260227234000,88640.7,64739.0,74100.0,23901.8,36.9203,13001.7,19.7266
20260227234500,88688.9,64319.0,74100.0,24369.9,37.8891,13243.7,20.2079
20260227235000,88606.1,64175.8,74100.0,24430.3,38.0678,12601.3,19.2905
20260228000000,88540.3,63216.9,62700.0,25323.4,40.0579,12483.4,19.4081
20260228000500,84799.8,63020.1,62700.0,21779.8,34.56,11890.2,18.5434
20260228001000,84780.7,62387.6,62700.0,22393.1,35.8934,12070.2,19.0133
20260228001500,84765.9,62130.0,62700.0,22635.9,36.4331,12799.0,20.243
20260228002500,84685.9,61411.8,62700.0,23274.1,37.8985,12744.1,20.3605
20260228003000,84662.4,61288.8,62700.0,23373.6,38.1368,12951.5,20.7612
20260228003500,84686.6,61231.1,62700.0,23455.5,38.3065,12538.0,20.1078
20260228004000,84649.2,60885.1,62700.0,23764.2,39.0312,12998.9,20.9751
20260228004500,84647.1,60613.6,62700.0,24033.5,39.6504,13245.8,21.4663
20260228005000,84652.2,60378.1,62700.0,24274.2,40.2036,13386.9,21.7738
20260228005500,83772.9,59833.5,62700.0,23939.3,40.0099,13209.2,21.6748
20260228010000,83807.1,59661.8,62700.0,24145.3,40.4704,12909.1,21.2224
20260228010500,83508.6,59783.5,62700.0,23725.1,39.685,12580.3,20.6221
20260228011000,83499.1,59526.9,62700.0,23972.2,40.2712,12989.8,21.3833
20260228011500,83506.6,59525.1,62700.0,23981.5,40.2881,12785.8,21.0469
20260228012000,83484.9,59100.4,62700.0,24384.5,41.2595,13123.5,21.7479
20260228012500,83404.6,58987.6,62700.0,24417.0,41.3934,13261.9,22.056
20260228013000,83407.2,58856.0,62700.0,24551.2,41.714,13327.3,22.1986
20260228013500,83386.2,58594.7,62700.0,24791.5,42.3102,13551.2,22.687
20260228014000,83389.4,58300.1,62700.0,25089.4,43.0349,13779.5,23.1822
20260228014500,83387.6,58228.5,62700.0,25159.1,43.2076,13811.9,23.2639
20260228015000,83405.5,58068.8,62700.0,25336.7,43.6321,13882.3,23.4361
20260228015500,83382.8,57989.8,62700.0,25393.0,43.7888,13994.1,23.663
20260228020000,83325.0,57836.2,62700.0,25488.8,44.0707,13846.7,23.4896
20260228020500,82851.0,57770.7,62700.0,25080.2,43.4133,13361.1,22.693
20260228021000,82838.5,57530.0,62700.0,25308.5,43.9919,13596.9,23.1931
20260228021500,83774.6,57538.6,62700.0,26236.0,45.5973,13872.0,23.6602
20260228022000,83762.5,57444.6,62700.0,26317.9,45.8144,13604.1,23.2426
20260228022500,83812.3,57493.1,62700.0,26319.3,45.7782,13782.1,23.506
20260228023000,83768.6,57390.4,62700.0,26378.2,45.9627,13668.9,23.3718
20260228023500,83756.0,56996.6,62700.0,26759.4,46.9492,13887.5,23.9064
20260228024000,83816.5,56916.8,62700.0,26899.7,47.2615,14075.9,24.2394
