기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20260503053500,79989.1,48026.9,57400.0,31962.2,66.5506,11121.6,22.4247
20260503054000,79968.2,47973.1,57400.0,31995.1,66.6937,11214.7,22.6368
20260503054500,79965.2,48053.7,57400.0,31911.5,66.408,11212.8,22.5954
20260503055000,79960.5,48611.8,57400.0,31348.8,64.4881,10808.7,21.537
20260503055500,79958.6,48559.6,57400.0,31399.0,64.6607,10849.2,21.7529
20260503060000,79965.6,48497.6,57400.0,31468.0,64.8858,11187.6,22.4595
20260503060500,79988.7,48596.6,57400.0,31392.1,64.5974,11202.3,22.4442
20260503061000,79993.2,48989.4,57400.0,31003.8,63.2869,10769.4,21.409
20260503061500,79973.9,49218.0,57400.0,30755.9,62.4893,10591.1,20.9597
20260503062000,79550.5,49030.8,57400.0,30519.8,62.2461,10750.2,21.3529
20260503062500,79549.8,49299.1,57400.0,30250.8,61.3617,10887.9,21.5125
20260503063000,79520.4,49303.0,57400.0,30217.4,61.2893,10893.0,21.5215
20260503063500,79536.2,49336.7,57400.0,30199.5,61.211,10931.7,21.5834
20260503064000,79526.9,49529.5,57400.0,29997.4,60.5647,10757.1,21.1566
20260503064500,79518.1,49440.7,57400.0,30077.5,60.8355,10771.0,21.2128
20260503065000,79516.9,49687.0,57400.0,29829.8,60.0355,10637.3,20.8564
20260503065500,79920.0,49784.1,57400.0,30135.9,60.533,10789.3,21.1143
20260503070000,79918.5,49888.1,57400.0,30030.4,60.1954,10832.4,21.1825
20260503070500,79875.9,50488.8,57400.0,29387.1,58.2052,10308.6,19.9262
20260503071000,79873.0,50221.4,57400.0,29651.6,59.0418,10615.0,20.626
20260503071500,79858.4,50402.8,57400.0,29455.6,58.4404,10539.8,20.4087
20260503072000,79859.8,50656.2,57400.0,29203.6,57.6507,10709.9,20.6375
20260503072500,79839.8,50733.7,57400.0,29106.1,57.3703,10628.2,20.4442
20260503073000,79867.7,50679.3,57400.0,29188.4,57.5943,11059.4,21.3006
20260503073500,79846.1,50855.5,57400.0,28990.6,57.0059,11003.1,21.1203
20260503074000,79849.3,51175.1,57400.0,28674.2,56.0316,10843.8,20.6886
20260503074500,79847.0,51224.1,57400.0,28622.9,55.8778,10931.4,20.8359
20260503075000,79841.8,51157.3,57400.0,28684.5,56.0713,11036.9,21.0675
20260503075500,79830.6,51053.7,57400.0,28776.9,56.3658,11132.3,21.2918
20260503080000,79822.0,51413.1,57400.0,28408.8,55.256,10840.2,20.601
20260503080500,79740.8,51611.8,57400.0,28129.0,54.5011,10506.7,19.8921
20260503081000,78950.1,51726.0,57400.0,27224.1,52.6314,9864.55,18.635
20260503081500,78955.0,51849.3,57400.0,27105.7,52.2778,9915.58,18.6881
20260503082000,78979.5,51742.4,57400.0,27237.1,52.6397,10548.5,19.918
20260503082500,78977.6,52057.7,57400.0,26919.9,51.7117,10409.7,19.5393
20260503083000,79025.3,52098.8,57400.0,26926.5,51.6836,10564.1,19.8159
20260503083500,79027.7,52013.8,57400.0,27013.9,51.9361,11285.6,21.2033
20260503084000,79039.8,52194.3,57400.0,26845.4,51.4336,11107.2,20.7972
20260503084500,79033.1,52387.9,57400.0,26645.1,50.8612,11063.5,20.6408
20260503085000,79024.5,52585.3,57400.0,26439.2,50.2787,11127.8,20.6853
20260503085500,79031.3,52402.1,57400.0,26629.2,50.817,11295.2,21.0677
20260503090000,79050.0,52139.0,57400.0,26911.1,51.6141,11360.2,21.2818
20260503090500,78087.0,52339.3,57400.0,25747.7,49.1939,10539.5,19.524
20260503091000,78110.3,52616.7,57400.0,25493.6,48.4516,10348.2,19.0746
20260503091500,78155.6,53009.9,57400.0,25145.7,47.4358,10098.6,18.4784
20260503092000,78206.6,53145.6,57400.0,25061.0,47.1554,9977.81,18.2119
20260503092500,78254.3,52775.6,57400.0,25478.7,48.2773,10738.2,19.7191
20260503093000,78314.0,53043.9,57400.0,25270.1,47.6399,10696.5,19.5576
20260503093500,78321.2,53253.4,57400.0,25067.8,47.0727,10619.7,19.3439
20260503094000,78386.4,53072.6,57900.0,25313.8,47.6966,11079.2,20.2422
20260503094500,78408.3,53106.9,57900.0,25301.4,47.6425,11202.6,20.4594
20260503095000,78452.1,53296.9,57900.0,25155.2,47.1983,11086.7,20.1738
20260503095500,78467.6,52928.0,57900.0,25539.5,48.2533,11389.1,20.8535
20260503100000,78555.6,53006.0,57900.0,25549.6,48.2013,11431.9,20.9137
20260503100500,78480.3,52978.0,57900.0,25502.3,48.1375,11492.7,21.0364
20260503101000,78553.9,53123.9,57900.0,25430.0,47.8692,11354.3,20.7282
20260503101500,78561.2,52760.6,57900.0,25800.6,48.9012,11754.5,21.6029
20260503102000,78603.1,53183.1,57900.0,25420.1,47.7972,11437.3,20.8571
20260503102500,78585.0,53274.1,57900.0,25310.9,47.5106,11398.4,20.7536
20260503103000,78595.9,53369.6,57900.0,25226.2,47.267,11425.3,20.7597
20260503103500,78580.1,53091.9,57900.0,25488.2,48.0077,11667.6,21.3139
20260503104000,78619.9,53214.4,57900.0,25405.5,47.7419,11599.2,21.1411
20260503104500,78617.0,53286.2,57900.0,25330.9,47.5374,11470.4,20.8793
20260503105000,78622.5,53522.2,57900.0,25100.3,46.897,11309.6,20.4956
20260503105500,78628.2,53572.9,57900.0,25055.2,46.7685,11268.0,20.4024
20260503110000,78635.0,53347.3,57900.0,25287.7,47.4021,11424.7,20.7742
20260503110500,78503.5,53563.0,57900.0,24940.5,46.5629,11175.4,20.2365
20260503111000,78895.0,53491.0,57900.0,25404.0,47.4922,11372.0,20.6245
20260503111500,78874.3,53793.9,57900.0,25080.5,46.6233,11041.2,19.9163
20260503112000,78874.5,53588.8,57900.0,25285.7,47.1847,11287.8,20.4353
20260503112500,78875.1,53646.0,57900.0,25229.1,47.0288,11275.3,20.3918
20260503113000,78868.4,53405.8,57900.0,25462.5,47.6774,11496.6,20.8833
20260503113500,78889.6,53545.4,57900.0,25344.2,47.3322,11389.9,20.637
20260503114000,78908.9,53672.9,57900.0,25236.0,47.0181,11276.1,20.3835
20260503114500,78923.4,53454.0,57900.0,25469.4,47.6473,11497.2,20.8667
20260503115000,78935.6,53438.8,57900.0,25496.8,47.7122,11611.1,21.0781
20260503115500,78972.9,53283.1,57900.0,25689.8,48.2137,11715.5,21.3269
20260503120000,78972.6,53176.6,57900.0,25795.9,48.5099,11827.1,21.5726
20260503120500,79002.1,52944.6,57900.0,26057.5,49.2165,11784.6,21.4533
20260503121000,78987.0,53277.6,57900.0,25709.4,48.2556,11485.1,20.7721
20260503121500,79011.0,53345.8,57900.0,25665.2,48.111,11548.4,20.7781
20260503122000,79037.7,53356.6,57900.0,25681.2,48.1312,11526.4,20.6103
20260503122500,79069.9,53505.2,57900.0,25564.7,47.7797,11548.2,20.5941
20260503123000,79029.8,53212.1,57900.0,25817.8,48.5186,11788.4,21.1328
20260503123500,79025.3,53238.8,57900.0,25786.5,48.4357,11789.8,21.1233
20260503124000,79021.8,53231.4,57900.0,25790.4,48.4495,11806.2,21.1595
20260503124500,79037.1,53099.4,57900.0,25937.7,48.8476,11933.3,21.4331
20260503125000,79106.4,53380.1,57900.0,25726.3,48.1945,11721.4,20.9517
20260503125500,79147.1,53239.8,57900.0,25907.3,48.6615,11981.0,21.4689
20260503130000,79246.1,53501.9,57900.0,25744.2,48.1184,11837.3,21.1135
20260503130500,79252.7,53065.2,57900.0,26187.4,49.3495,12214.0,21.9546
20260503131000,79331.0,53133.0,57900.0,26198.0,49.3065,12193.0,21.8828
20260503131500,79337.1,53119.9,57900.0,26217.2,49.3548,11916.0,21.255
20260503132000,79312.8,52948.7,57900.0,26364.0,49.7916,12017.1,21.4905
20260503132500,79341.7,52928.6,57900.0,26413.1,49.9032,12100.1,21.6562
20260503133000,79423.3,53059.0,57900.0,26364.3,49.6887,12052.6,21.5156
20260503133500,79409.9,53014.0,57900.0,26395.9,49.7905,12121.7,21.5613
20260503134000,79447.3,53101.4,57900.0,26345.9,49.6143,12171.6,21.6177
20260503134500,79470.8,52936.8,57900.0,26534.0,50.124,12299.5,21.9089
20260503135000,79433.7,52838.1,57900.0,26595.6,50.3341,12427.5,22.1764
20260503135500,79492.0,52642.1,57900.0,26849.8,51.0045,12627.9,22.6125
20260503140000,79496.9,52386.9,57900.0,27110.0,51.7495,12901.8,23.2092
20260503140500,79523.5,52036.2,57900.0,27487.3,52.8233,13076.3,23.6739
20260503141000,79573.1,51959.2,57900.0,27613.8,53.1452,13111.6,23.7604
20260503141500,79575.2,51972.3,57900.0,27602.9,53.1109,13062.3,23.6765
20260503142000,79629.9,52075.4,57900.0,27554.4,52.9125,12753.6,23.071
20260503142500,79645.0,52151.0,57900.0,27494.0,52.72,12658.1,22.8681
20260503143000,79612.5,52285.5,57900.0,27327.0,52.2649,12479.8,22.4926
20260503143500,79612.4,52322.3,57900.0,27290.2,52.1578,12467.0,22.4583
20260503144000,79601.8,52220.6,57900.0,27381.2,52.4337,12558.0,22.6637
20260503144500,79624.8,52051.5,57900.0,27573.3,52.9731,12610.6,22.8275
20260503145000,79591.1,51939.5,57900.0,27651.6,53.238,12714.1,23.0639
20260503145500,79580.1,51843.0,57900.0,27737.1,53.5021,12743.6,23.157
20260503150000,79532.0,51713.5,57900.0,27818.5,53.7935,12783.1,23.2782
20260503150500,79559.7,51717.9,57900.0,27841.8,53.834,12845.4,23.4039
20260503151000,79583.6,51748.3,57900.0,27835.4,53.7899,12869.2,23.4277
20260503151500,79495.0,51700.7,57900.0,27794.3,53.7599,13061.3,23.6923
20260503152000,79516.1,51967.3,57900.0,27548.7,53.0116,12886.6,23.2681
20260503152500,79564.6,52274.1,57900.0,27290.6,52.2067,12339.0,22.1553
20260503153000,79556.9,52339.9,57900.0,27217.0,52.0004,12052.8,21.6103
20260503153500,79558.7,52272.3,57900.0,27286.4,52.2005,12080.2,21.6859
20260503154000,79584.4,52418.1,57900.0,27166.3,51.8262,11972.0,21.4375
20260503154500,79558.8,52630.8,57900.0,26927.9,51.1637,11770.9,20.9963
20260503155000,79557.8,52737.3,57900.0,26820.5,50.8569,11620.1,20.8261
20260503155500,79518.8,52934.0,57900.0,26584.8,50.2225,11380.0,20.4147
20260503160000,79494.2,52902.7,57900.0,26591.5,50.2648,11404.5,20.4709
20260503160500,79454.9,53123.2,57900.0,26331.7,49.5672,11183.3,19.998
20260503161000,79450.4,53306.6,57900.0,26143.8,49.0442,11170.2,19.9988
20260503161500,79443.8,53678.5,57900.0,25765.3,47.9992,10815.6,19.3479
20260503162000,79484.6,53596.4,57600.0,25888.2,48.3022,11212.2,20.2055
20260503162500,79472.7,53567.7,57600.0,25905.0,48.3594,11554.6,20.8335
20260503163000,79425.6,53583.7,57600.0,25841.8,48.227,11768.0,21.2072
20260503163500,79421.5,53771.3,57600.0,25650.2,47.7024,11601.8,20.9298
20260503164000,79383.9,54000.5,57600.0,25383.3,47.0057,11600.9,20.8538
20260503164500,79383.5,54116.6,57600.0,25266.9,46.6897,11517.4,20.6621
20260503165000,79353.8,54177.9,57600.0,25175.9,46.4689,11472.3,20.5544
20260503165500,80570.7,54575.4,57600.0,25995.3,47.6318,12386.3,22.2018
20260503170000,80504.2,54850.4,57600.0,25653.8,46.7705,12392.0,22.1044
20260503170500,80679.6,54621.2,57600.0,26058.4,47.7075,12825.5,22.9702
20260503171000,80734.4,54748.6,57600.0,25985.8,47.4638,12805.1,22.8809
20260503171500,80775.4,54643.1,57600.0,26132.3,47.8236,12940.1,23.1658
20260503172000,80906.5,55269.5,57600.0,25637.0,46.3854,12520.5,22.1677
20260503172500,80885.3,55442.2,57600.0,25443.1,45.8913,12501.4,22.0667
20260503173000,80810.5,55552.1,57600.0,25258.4,45.4679,12340.3,21.7411
20260503173500,80802.6,55594.6,57600.0,25207.9,45.3424,12368.7,21.7753
20260503174000,80749.1,55808.9,57600.0,24940.2,44.6886,11990.6,21.0305
20260503174500,80733.7,55942.4,57600.0,24791.2,44.3156,11992.2,20.9841
20260503175000,80715.0,56051.3,57600.0,24663.6,44.0019,11991.3,20.9417
20260503175500,80624.6,56103.7,57600.0,24520.9,43.7064,11910.4,20.7797
20260503180000,80563.3,56560.8,57600.0,24002.5,42.4366,11387.4,19.7097
20260503180500,80631.0,56523.0,57600.0,24108.1,42.6518,11469.3,19.8701
20260503181000,80565.0,57017.2,57600.0,23547.8,41.2994,10998.0,18.8933
20260503181500,80492.2,57051.0,57600.0,23441.2,41.0882,10905.9,18.7221
20260503182000,80443.1,57183.8,57600.0,23259.3,40.6746,10923.0,18.7088
20260503182500,80360.9,57504.3,57600.0,22856.6,39.7477,10517.7,17.9157
20260503183000,80213.9,57364.5,57600.0,22849.4,39.832,10429.5,17.8068
20260503183500,80178.5,57654.6,57600.0,22523.9,39.067,10181.2,17.2971
20260503184000,80073.5,57448.5,57600.0,22625.0,39.3831,10268.9,17.5074
20260503184500,80059.2,57519.9,57600.0,22539.3,39.1852,10287.7,17.5182
20260503185000,79965.0,57743.7,57600.0,22221.2,38.4825,10077.1,17.0953
20260503185500,79918.3,57558.0,57600.0,22360.3,38.8483,10186.5,17.3356
20260503190000,79838.7,57847.0,57600.0,21991.7,38.0171,10167.1,17.2182
20260503190500,79863.9,57994.7,57600.0,21869.2,37.709,10109.2,17.077
20260503191000,79774.2,58176.7,57600.0,21597.5,37.124,10126.5,17.0526
20260503191500,79773.9,58052.7,57600.0,21721.2,37.4163,10288.2,17.361
20260503192000,79716.3,58286.2,57600.0,21430.2,36.7672,10065.5,16.919
20260503192500,79739.3,58227.1,57600.0,21512.2,36.9453,10122.5,17.0319
20260503193000,79710.2,58640.6,57600.0,21069.6,35.9301,9716.04,16.2347
20260503193500,79690.6,58839.8,57600.0,20850.7,35.4364,9555.25,15.9128
20260503194000,79673.1,58994.3,57600.0,20678.9,35.0524,9512.68,15.8031
20260503194500,79651.3,58522.7,57600.0,21128.6,36.1032,10133.6,16.9682
20260503195000,79646.1,58720.7,57600.0,20925.4,35.6354,9907.04,16.5326
20260503195500,79623.1,58766.6,57600.0,20856.5,35.4905,9817.81,16.371
20260503200000,79578.7,58742.0,57600.0,20836.7,35.4716,9764.99,16.2882
20260503200500,79630.8,58684.4,57600.0,20946.4,35.6933,9827.86,16.409
