�����Ͻ�,���޴ɷ�(MW),�������(MW),�ִ뿹������(MW),���޿����(MW),���޿�����(%),������(MW),�������(%)
20251107000000,91563.9,59796.0,68900.0,31767.9,53.1272,11958.9,19.9994
20251107000500,89715.3,59553.6,68900.0,30161.7,50.6463,12051.5,20.2363
20251107001000,89709.5,59290.1,68900.0,30419.3,51.3059,12225.9,20.6204
20251107001500,89796.1,58957.8,68900.0,30838.3,52.3057,12606.9,21.3829
20251107002000,89720.0,58463.8,68900.0,31256.2,53.4625,13038.1,22.3011
20251107002500,89718.8,58462.4,68900.0,31256.3,53.464,12143.3,20.7712
20251107003000,89748.6,58053.9,68900.0,31694.7,54.5954,12265.7,21.1282
20251107003500,89726.6,57842.0,68900.0,31884.6,55.1235,12098.3,20.9161
20251107004000,89727.9,57589.7,68900.0,32138.1,55.8053,12130.4,21.0635
20251107004500,89769.4,57297.6,68900.0,32471.8,56.6721,12204.2,21.2996
20251107005000,89712.0,57299.7,68900.0,32412.2,56.5661,11946.5,20.8491
20251107005500,89708.5,56909.4,68900.0,32799.2,57.6341,11813.1,20.7577
20251107010000,89704.8,56745.0,68900.0,32959.8,58.084,11715.8,20.6463
20251107010500,89746.9,56528.0,68900.0,33218.8,58.7653,11920.8,21.0883
20251107011000,89748.8,56589.9,68900.0,33159.0,58.5952,11769.2,20.7973
20251107011500,89795.2,56457.3,68900.0,33337.8,59.0496,11944.1,21.1559
20251107012000,89754.8,56084.6,68900.0,33670.2,60.0346,12230.7,21.8076
20251107012500,89759.1,55876.2,68900.0,33882.9,60.6391,12476.8,22.3293
20251107013000,89762.2,55901.1,68900.0,33861.1,60.5732,12686.8,22.6951
20251107013500,89822.7,55958.7,68900.0,33864.0,60.516,12698.8,22.6931
20251107014000,89838.8,55684.1,68900.0,34154.7,61.3364,12949.0,23.2544
20251107014500,89813.0,55405.2,68900.0,34407.8,62.102,13193.6,23.8129
20251107015000,89806.2,55380.8,68900.0,34425.4,62.1613,13147.9,23.7409
20251107015500,89812.7,55051.6,68900.0,34761.1,63.1427,13597.3,24.6992
20251107020000,89814.0,55120.1,68900.0,34693.9,62.9424,13484.4,24.4637
20251107020500,89537.4,55149.8,68900.0,34387.6,62.3531,13349.8,24.19
20251107021000,89545.7,55011.1,68900.0,34534.6,62.7775,13253.3,23.976
20251107021500,89516.3,55012.4,68900.0,34504.0,62.7204,13269.2,24.004
20251107022000,89564.6,54978.4,68900.0,34586.1,62.9086,13458.9,24.3623
20251107022500,89607.4,54868.2,68900.0,34739.3,63.3141,13616.5,24.6887
20251107023000,89576.2,54701.0,68900.0,34875.2,63.756,13409.9,24.226
20251107023500,89618.5,54652.1,68900.0,34966.4,63.9799,13503.8,24.4169
20251107024000,89650.1,54360.3,68900.0,35289.8,64.9182,13823.1,25.1225
20251107024500,89601.9,54433.4,68900.0,35168.5,64.6084,13435.9,24.245
20251107025000,89690.3,54441.0,68900.0,35249.4,64.7479,13213.3,23.6944
20251107025500,89678.6,54316.7,68900.0,35361.9,65.1033,13115.7,23.4872
20251107030000,89616.0,54333.4,68900.0,35282.6,64.9371,12749.7,22.7821
20251107030500,89772.4,54396.6,68900.0,35375.9,65.0333,12847.5,22.8666
20251107031000,89694.4,54433.6,68900.0,35260.9,64.7778,12798.0,22.7657
20251107031500,89677.4,54099.1,68900.0,35578.2,65.7649,13083.5,23.41
20251107032000,89670.2,54359.0,68900.0,35311.2,64.9593,12848.5,22.8874
20251107032500,89635.4,54262.2,68900.0,35373.3,65.1896,12830.7,22.8937
20251107033000,89666.7,54088.2,68900.0,35578.6,65.7789,13101.2,23.4489
20251107033500,89718.0,54292.5,68900.0,35425.6,65.2496,12872.7,22.9563
20251107034000,89658.9,54089.7,68900.0,35569.2,65.7597,13067.0,23.3869
20251107034500,89661.5,54210.9,68900.0,35450.6,65.394,12984.0,23.1892
20251107035000,89728.3,54298.3,68900.0,35430.0,65.2507,12936.3,23.0676
20251107035500,89723.8,54291.9,68900.0,35431.9,65.262,12951.4,23.0986
20251107040000,89806.4,54369.8,68900.0,35436.6,65.1769,13115.5,23.3587
20251107040500,89762.2,54136.6,68900.0,35625.6,65.8068,13032.2,23.3062
20251107041000,89844.4,54188.2,68900.0,35656.1,65.8005,13059.4,23.3337
20251107041500,89833.0,54267.2,68900.0,35565.8,65.5384,13013.4,23.2192
20251107042000,89788.9,54265.1,68900.0,35523.8,65.4635,12925.2,23.0621
20251107042500,89781.1,54406.3,68900.0,35374.8,65.0197,12800.8,22.7843
20251107043000,89720.2,54236.7,68900.0,35483.5,65.4233,12889.7,23.0114
20251107043500,89774.3,54525.1,68900.0,35249.2,64.6476,12770.1,22.6815
20251107044000,89722.3,54623.1,68900.0,35099.2,64.2571,12813.5,22.7185
20251107044500,89723.4,54773.6,68900.0,34949.8,63.8078,12915.2,22.8392
20251107045000,89713.9,54652.1,68900.0,35061.7,64.1544,13052.8,23.1309
20251107045500,89748.8,54746.3,68900.0,35002.5,63.9359,13011.0,23.0187
20251107050000,89711.4,54932.1,68900.0,34779.2,63.3131,12876.0,22.7069
20251107050500,89819.3,55408.1,68900.0,34411.1,62.1048,12684.0,22.1827
20251107051000,89768.6,55518.5,68900.0,34250.1,61.6914,12763.5,22.4064
20251107051500,89772.0,55737.3,68900.0,34034.8,61.0629,12623.5,22.0773
20251107052000,89785.5,55989.3,68900.0,33796.3,60.362,12676.9,22.074
20251107052500,89886.3,55967.6,68900.0,33918.7,60.6041,12922.8,22.5109
20251107053000,89860.9,56114.5,68900.0,33746.4,60.1386,12742.0,22.1387
20251107053500,89906.3,56346.0,68900.0,33560.3,59.5611,12827.2,22.3262
20251107054000,89885.1,56551.9,68900.0,33333.2,58.9428,13008.7,22.5618
20251107054500,89925.9,56884.2,68900.0,33041.8,58.086,13094.6,22.5807
20251107055000,89863.5,56925.9,68900.0,32937.6,57.8605,12833.2,22.1137
20251107055500,89879.3,57517.0,68900.0,32362.3,56.2656,12544.4,21.3998
20251107060000,89870.8,57756.3,68900.0,32114.5,55.6035,12637.6,21.47
20251107060500,89778.9,58236.3,68900.0,31542.6,54.1632,12227.2,20.6966
20251107061000,89783.5,58360.3,68900.0,31423.2,53.8435,12511.9,21.1338
20251107061500,89759.4,58712.0,68900.0,31047.4,52.8808,12306.9,20.6655
20251107062000,89799.0,59505.4,68900.0,30293.6,50.909,11757.6,19.5674
20251107062500,89779.7,59640.3,68900.0,30139.3,50.5352,12180.5,20.3541
20251107063000,89739.6,59830.7,68900.0,29908.9,49.9893,12330.8,20.5399
20251107063500,89733.3,60049.8,68900.0,29683.5,49.4315,12675.0,21.0364
20251107064000,89729.8,60263.4,68900.0,29466.4,48.8959,12801.3,21.2422
20251107064500,89776.0,60498.8,68900.0,29277.3,48.3932,12743.9,21.0647
20251107065000,89729.6,60784.6,68900.0,28945.0,47.6189,12829.5,21.1065
20251107065500,89810.1,61122.9,68900.0,28687.2,46.9336,12789.6,20.9243
20251107070000,89717.2,61596.9,68900.0,28120.2,45.652,13407.6,21.7667
20251107070500,89421.6,62460.1,68900.0,26961.5,43.166,12597.6,20.169
20251107071000,89415.1,63064.4,68900.0,26350.7,41.7838,12192.0,19.3327
20251107071500,89415.0,63495.9,68900.0,25919.1,40.82,11972.0,18.8548
20251107072000,89426.5,63801.8,68900.0,25624.8,40.1631,12268.4,19.2289
20251107072500,89844.1,64120.0,68900.0,25724.1,40.1187,12423.4,19.3753
20251107073000,89869.9,64114.9,68900.0,25754.9,40.1699,12800.6,19.9651
20251107073500,89890.2,64375.6,68900.0,25514.6,39.634,12675.9,19.6905
20251107074000,89936.8,64523.4,68900.0,25413.4,39.3864,12530.1,19.4195
20251107074500,90056.8,64689.7,68900.0,25367.1,39.2135,12715.4,19.656
20251107075000,90072.2,65020.0,68900.0,25052.1,38.5299,12423.6,19.1074
20251107075500,90150.1,64915.3,68900.0,25234.8,38.8735,12559.7,19.3478
20251107080000,90246.6,65400.7,68900.0,24845.8,37.9902,12128.1,18.5443
20251107080500,89155.2,66166.6,68900.0,22988.6,34.7435,10331.4,15.6142
20251107081000,89362.0,66363.4,68900.0,22998.6,34.6556,10422.6,15.7054
20251107081500,89473.6,66336.1,68900.0,23137.6,34.8793,10962.1,16.525
20251107082000,89641.6,66337.2,68900.0,23304.4,35.1302,11153.5,16.8133
20251107082500,89741.7,66552.0,68900.0,23189.7,34.8444,11081.0,16.6501
20251107083000,89972.3,66651.2,68900.0,23321.2,34.9899,10999.2,16.5026
20251107083500,90095.3,66790.8,68900.0,23304.5,34.8917,10290.7,15.4074
20251107084000,90122.9,66613.0,68900.0,23509.9,35.2933,10438.4,15.6701
20251107084500,90349.1,66482.4,68900.0,23866.8,35.8994,10401.3,15.6452
20251107085000,90487.3,66228.5,68900.0,24258.8,36.6289,10492.5,15.8429
20251107085500,90731.1,66386.2,68900.0,24344.9,36.6716,10523.7,15.8499
20251107090000,90752.2,65996.7,68900.0,24755.5,37.5102,10874.9,16.3716
20251107090500,90534.3,65327.5,68900.0,25206.8,38.5854,11323.0,17.2195
20251107091000,90684.5,65227.5,68900.0,25457.0,39.0281,11273.6,17.1696
20251107091500,90890.5,64922.8,68900.0,25967.7,39.9978,11663.6,17.8467
20251107092000,90936.9,64751.4,68900.0,26185.6,40.4402,11810.4,18.1182
