�����Ͻ�,���޴ɷ�(MW),�������(MW),�ִ뿹������(MW),���޿����(MW),���޿�����(%),������(MW),�������(%)
20250806000000,103664.0,69790.0,87900.0,33873.7,48.5366,12898.3,18.4815
20250806000500,103938.0,69613.6,87900.0,34324.6,49.3073,12843.8,18.4501
20250806001000,103955.0,69264.3,87900.0,34691.1,50.0851,13151.8,18.9878
20250806001500,103978.0,68734.6,87900.0,35243.7,51.2751,12944.2,18.8322
20250806002000,103968.0,68341.7,87900.0,35626.4,52.1299,12643.2,18.4999
20250806002500,103966.0,68029.4,87900.0,35937.0,52.8257,12403.7,18.2329
20250806003000,103950.0,67376.5,87900.0,36573.1,54.2817,11915.2,17.6845
20250806003500,103963.0,67229.3,87900.0,36733.4,54.639,11410.4,16.9723
20250806004000,103968.0,67021.3,87900.0,36946.6,55.1267,11389.2,16.9933
20250806004500,103992.0,66779.8,87900.0,37211.9,55.7234,11380.2,17.0414
20250806005000,103980.0,66414.6,87900.0,37565.9,56.5626,11797.7,17.7636
20250806005500,103986.0,65894.7,87900.0,38091.1,57.8059,12308.2,18.6786
20250806010000,103983.0,65888.6,87900.0,38094.1,57.8159,12282.0,18.6406
20250806010500,104017.0,65873.1,87900.0,38143.7,57.9049,11784.3,17.8894
20250806011000,103783.0,65632.6,87900.0,38149.9,58.1265,11412.8,17.3889
20250806011500,103777.0,65352.4,87900.0,38424.2,58.7954,11570.8,17.7052
20250806012000,103764.0,65036.3,87900.0,38727.3,59.5471,11797.8,18.1403
20250806012500,103771.0,64741.4,87900.0,39029.2,60.2847,11581.4,17.8886
20250806013000,103763.0,64829.9,87900.0,38932.8,60.0537,11820.2,18.2326
20250806013500,103775.0,64806.7,87900.0,38968.3,60.1301,11803.6,18.2136
20250806014000,103765.0,64248.7,87900.0,39516.5,61.5055,12182.9,18.9621
20250806014500,103759.0,64224.5,87900.0,39534.3,61.5564,11611.7,18.0798
20250806015000,103756.0,64189.6,87900.0,39566.0,61.6392,11528.8,17.9605
20250806015500,103722.0,63997.5,87900.0,39724.4,62.0719,11684.6,18.2578
20250806020000,103732.0,63686.8,87900.0,40044.7,62.8776,11972.6,18.7992
20250806020500,103386.0,63660.5,87900.0,39725.4,62.402,11565.4,18.1673
20250806021000,103347.0,63590.6,87900.0,39756.1,62.5188,11646.8,18.306
20250806021500,103343.0,63684.5,87900.0,39658.8,62.2738,11173.4,17.4736
20250806022000,103340.0,63436.2,87900.0,39903.7,62.9037,11307.9,17.746
20250806022500,103338.0,63305.6,87900.0,40032.6,63.237,11267.9,17.6534
20250806023000,103339.0,63111.3,87900.0,40227.5,63.7406,11444.9,17.9864
20250806023500,103357.0,62730.6,87900.0,40626.1,64.7628,11745.2,18.5579
20250806024000,103375.0,62674.9,87900.0,40700.4,64.9389,11535.5,18.144
20250806024500,103392.0,62583.3,87900.0,40808.3,65.2063,11193.8,17.5281
20250806025000,103401.0,62607.5,87900.0,40793.1,65.1569,11134.8,17.3848
20250806025500,103431.0,62507.6,87900.0,40923.6,65.4699,11289.3,17.6533
20250806030000,103419.0,62182.3,87900.0,41236.3,66.3152,11275.1,17.6887
20250806030500,103598.0,62331.9,87900.0,41265.6,66.2031,11262.1,17.5687
20250806031000,103428.0,62411.6,87900.0,41016.4,65.7192,11043.7,17.2057
20250806031500,103416.0,62554.2,87900.0,40862.1,65.3227,10866.4,16.8917
20250806032000,103409.0,62209.8,87900.0,41199.0,66.2259,11214.8,17.5265
20250806032500,103417.0,61956.2,87900.0,41460.9,66.9197,11464.4,17.9872
20250806033000,103407.0,61780.8,87900.0,41626.0,67.3769,11658.9,18.3448
20250806033500,103404.0,62021.3,87900.0,41382.4,66.7229,11468.0,17.9767
20250806034000,103396.0,62115.9,87900.0,41280.5,66.4573,11093.0,17.3633
20250806034500,103412.0,62163.3,87900.0,41248.3,66.3547,11091.8,17.3483
20250806035000,103392.0,61729.0,87900.0,41663.0,67.4934,11456.5,18.0405
20250806035500,103396.0,61592.8,87900.0,41802.7,67.8695,11544.8,18.2192
20250806040000,103379.0,61729.3,87900.0,41649.7,67.4715,11434.3,18.0072
20250806040500,103373.0,61872.4,87900.0,41500.8,67.0749,11335.9,17.812
20250806041000,103363.0,61742.7,87900.0,41620.0,67.4089,11417.0,17.9758
20250806041500,103370.0,61709.5,87900.0,41660.5,67.5107,11495.2,18.1085
20250806042000,103366.0,61725.7,87900.0,41640.1,67.46,11434.8,18.0086
20250806042500,103388.0,61975.8,87900.0,41411.8,66.8193,11463.9,17.9851
20250806043000,103416.0,61971.7,87900.0,41444.2,66.8759,11233.5,17.6244
20250806043500,103423.0,62111.1,87900.0,41312.2,66.5133,11099.2,17.376
20250806044000,103434.0,62178.0,87900.0,41255.9,66.3514,10923.8,17.0833
20250806044500,103454.0,61933.0,87900.0,41520.7,67.0414,11137.2,17.4836
20250806045000,103472.0,62183.8,87900.0,41288.0,66.3966,10913.5,17.0669
20250806045500,103463.0,62321.0,87900.0,41142.3,66.0168,10767.5,16.8888
20250806050000,103471.0,62437.4,87900.0,41034.0,65.7203,10993.7,17.2133
20250806050500,103697.0,62749.3,87900.0,40947.8,65.2562,10994.9,17.1316
20250806051000,103723.0,62447.2,87900.0,41275.9,66.0973,11428.6,17.8914
20250806051500,103710.0,62580.8,87900.0,41129.6,65.7225,11325.7,17.6928
20250806052000,103733.0,62711.2,87900.0,41021.9,65.4141,11271.7,17.6225
20250806052500,103746.0,62903.5,87900.0,40842.4,64.9286,11339.5,17.6973
20250806053000,103768.0,63013.0,87900.0,40755.3,64.6776,11578.4,18.0388
20250806053500,103741.0,63526.6,87900.0,40214.6,63.3035,11609.2,18.0351
20250806054000,103747.0,63562.7,87900.0,40184.2,63.2198,11947.2,18.5498
20250806054500,103720.0,63867.9,87900.0,39852.1,62.3977,11985.0,18.5214
20250806055000,103710.0,64166.3,87900.0,39544.1,61.6275,12101.1,18.7999
20250806055500,103700.0,64070.2,87900.0,39629.6,61.8534,12652.7,19.6863
20250806060000,103715.0,64481.6,87900.0,39233.9,60.8451,12314.9,19.0983
20250806060500,103742.0,65019.0,87900.0,38723.4,59.5571,12271.8,18.8742
20250806061000,103732.0,65507.6,87900.0,38224.0,58.3505,12250.6,18.7011
20250806061500,103725.0,65831.1,87900.0,37893.5,57.5616,12509.7,19.0027
20250806062000,103734.0,66246.7,87900.0,37487.6,56.5879,12565.1,18.9671
20250806062500,103735.0,66177.5,87900.0,37557.7,56.7529,13445.3,20.317
20250806063000,103785.0,66317.2,87900.0,37467.9,56.498,13773.3,20.7688
20250806063500,102911.0,67013.3,87900.0,35897.6,53.5679,13677.6,20.4102
20250806064000,102967.0,67493.4,87900.0,35473.5,52.5585,13844.0,20.5117
20250806064500,103004.0,67807.8,87900.0,35196.7,51.9066,14290.0,21.0743
20250806065000,103016.0,68068.6,87900.0,34947.0,51.3408,14358.0,21.0934
20250806065500,103053.0,68608.6,87900.0,34444.7,50.2046,14223.2,20.731
20250806070000,103084.0,69136.0,87900.0,33947.6,49.1026,14264.0,20.6318
20250806070500,103876.0,70117.4,87900.0,33758.7,48.1459,13712.8,19.5569
20250806071000,103946.0,70749.2,87900.0,33197.1,46.9223,13518.3,19.1074
20250806071500,103978.0,71034.3,87900.0,32943.4,46.3768,13724.8,19.3214
20250806072000,104009.0,71397.1,87900.0,32612.1,45.677,13656.6,19.1277
20250806072500,104058.0,71805.3,87900.0,32252.2,44.9162,13476.7,18.7683
20250806073000,104110.0,72277.4,87900.0,31832.4,44.042,14114.4,19.528
20250806073500,104164.0,73002.4,87900.0,31161.9,42.6862,14158.9,19.3951
20250806074000,104218.0,73294.9,87900.0,30922.9,42.1897,14125.1,19.2716
20250806074500,104292.0,73665.2,87900.0,30626.5,41.5753,13941.0,18.9249
20250806075000,104323.0,74239.5,87900.0,30083.3,40.5219,14235.7,19.1754
20250806075500,104404.0,74589.1,87900.0,29814.5,39.9717,15221.9,20.4077
20250806081000,103638.0,77061.4,87900.0,26576.1,34.487,14126.0,18.3308
20250806082000,103660.0,78316.5,87900.0,25343.7,32.3606,13587.7,17.3497
20250806082500,103760.0,78989.1,87900.0,24770.9,31.3599,13497.1,17.0873
20250806083000,103799.0,79680.9,87900.0,24117.7,30.2679,13139.0,16.4895
20250806083500,103840.0,80299.4,87900.0,23540.3,29.3156,12779.2,15.9145
20250806084000,103915.0,80839.7,87900.0,23075.1,28.5443,12618.3,15.609
20250806084500,103896.0,81559.4,87900.0,22337.0,27.3873,12272.3,15.047
20250806085000,103934.0,82401.7,87900.0,21532.0,26.1305,11630.2,14.1129
20250806085500,103940.0,82697.8,87900.0,21242.5,25.6869,11550.3,13.9619
20250806090000,104033.0,83187.9,87900.0,20845.0,25.0578,11449.1,13.6927
20250806090500,104382.0,83522.3,87900.0,20859.2,24.9744,11518.9,13.7213
20250806091000,104491.0,83695.6,87900.0,20795.8,24.8469,11868.0,14.1074
20250806091500,104656.0,84226.2,87900.0,20429.7,24.2557,11941.1,14.106
20250806092000,104690.0,84707.5,87900.0,19982.2,23.5897,11653.9,13.6888
20250806092500,104721.0,84829.3,87900.0,19892.1,23.4496,11718.1,13.7448
20250806093000,104722.0,85015.4,87900.0,19706.5,23.1799,12184.0,14.26
20250806093500,104787.0,85141.2,88900.0,19645.8,23.0744,12066.8,14.102
20250806094000,104796.0,85283.3,88900.0,19512.9,22.8801,11901.3,13.8855
20250806094500,104857.0,85617.2,88900.0,19239.5,22.4715,11752.3,13.6589
20250806095000,104880.0,85962.4,88900.0,18917.8,22.0071,11589.1,13.4151
20250806095500,105004.0,86140.3,88900.0,18863.8,21.899,11604.3,13.4051
20250806100000,105151.0,86205.9,88900.0,18945.0,21.9765,12022.1,13.8773
20250806100500,105083.0,86167.7,88900.0,18914.9,21.9513,12142.5,14.022
20250806101000,105094.0,86249.6,88900.0,18844.4,21.8487,12180.6,14.053
20250806101500,105080.0,86394.6,88900.0,18685.6,21.6281,11936.7,13.7487
20250806102000,105051.0,86572.1,88900.0,18479.4,21.3456,11881.6,13.6575
20250806102500,105036.0,86749.2,88900.0,18286.7,21.0799,11567.9,13.2701
20250806103000,105138.0,86961.9,88900.0,18176.3,20.9014,11518.8,13.1815
20250806103500,105203.0,87371.7,88900.0,17831.3,20.4085,11294.7,12.8647
20250806104000,105299.0,87372.6,88900.0,17926.4,20.5172,11270.7,12.8375
20250806104500,105237.0,87593.2,88900.0,17643.3,20.1423,11066.3,12.5729
20250806105000,105162.0,87969.3,88900.0,17192.4,19.5436,10586.9,11.9774
20250806105500,105198.0,87814.8,88900.0,17383.1,19.7952,10797.3,12.2365
20250806110000,105179.0,87602.7,88900.0,17576.3,20.0636,10934.1,12.4212
20250806110500,105040.0,87343.3,88900.0,17696.5,20.2608,11032.3,12.5702
20250806111000,105201.0,87413.8,88900.0,17787.3,20.3483,11251.8,12.8095
20250806111500,105140.0,87250.9,88900.0,17888.8,20.5028,11287.4,12.8738
20250806112000,105112.0,86992.5,88900.0,18119.1,20.8284,11508.2,13.1645
20250806112500,104959.0,86926.4,88900.0,18033.0,20.7451,11472.7,13.134
20250806113000,104993.0,86901.4,88900.0,18091.2,20.8181,11375.1,13.0263
20250806113500,105130.0,86730.8,88900.0,18399.7,21.2147,11806.7,13.5469
20250806114000,105076.0,86552.2,88900.0,18523.9,21.402,11920.3,13.7053
20250806114500,105009.0,86533.1,88900.0,18475.7,21.351,11895.6,13.6803
20250806115000,104991.0,85981.4,88900.0,19009.9,22.1093,12233.4,14.1583
20250806115500,105006.0,85715.8,88900.0,19290.0,22.5046,12548.5,14.5677
20250806120000,104925.0,85366.2,88900.0,19558.5,22.9113,12738.0,14.8479
20250806120500,104971.0,85247.3,88900.0,19723.4,23.1367,12913.8,15.0739
20250806121000,104946.0,85203.9,88900.0,19742.2,23.1706,13082.8,15.2791
20250806121500,104913.0,85359.0,88900.0,19553.8,22.9077,12786.3,14.9053
20250806122000,104970.0,85346.5,88900.0,19623.8,22.9931,12876.5,15.0128
20250806122500,104981.0,85187.9,88900.0,19793.5,23.2351,13296.6,15.5316
20250806123000,104980.0,85056.1,88900.0,19924.1,23.4247,13427.9,15.7092
20250806123500,104911.0,84851.0,88900.0,20059.6,23.641,13515.6,15.8494
20250806124000,104845.0,84933.7,88900.0,19911.0,23.443,13239.7,15.5105
20250806124500,104782.0,85030.8,88900.0,19751.4,23.2285,13158.8,15.3989
20250806125000,104822.0,85138.3,88900.0,19683.4,23.1193,13115.4,15.3293
20250806125500,104834.0,85397.6,88900.0,19436.9,22.7605,12760.4,14.8693
