�����Ͻ�,���޴ɷ�(MW),�������(MW),�ִ뿹������(MW),���޿����(MW),���޿�����(%),������(MW),�������(%)
20250505203500,80022.6,57082.8,57800.0,22939.8,40.1869,11199.5,19.6197
20250505204000,80001.6,57039.8,57800.0,22961.7,40.2556,11219.4,19.6695
20250505204500,79977.7,56767.0,57800.0,23210.7,40.8876,11516.2,20.2868
20250505205000,79958.4,56760.0,57800.0,23198.4,40.871,11508.5,20.2757
20250505205500,79937.7,56455.8,57800.0,23482.0,41.5935,11713.2,20.7476
20250505210000,79916.4,56532.9,57800.0,23383.5,41.3627,11436.9,20.2305
20250505210500,79967.7,56418.3,57800.0,23549.4,41.7406,11463.7,20.3191
20250505211000,79958.1,56110.7,57800.0,23847.5,42.5007,11757.6,20.9544
20250505211500,79951.6,56194.8,57800.0,23756.8,42.2758,11697.3,20.8157
20250505212000,79939.4,56296.7,57800.0,23642.7,41.9967,11572.4,20.556
20250505212500,79929.3,55963.2,57800.0,23966.1,42.8248,11674.7,20.8614
20250505213000,79923.6,56187.4,57800.0,23736.2,42.2447,11126.1,19.8017
20250505213500,79918.2,55980.9,57800.0,23937.3,42.7597,11058.9,19.7547
20250505214000,79903.4,55577.5,57800.0,24325.9,43.7694,11350.4,20.4227
20250505214500,79905.5,55428.6,57800.0,24476.8,44.1592,11421.9,20.6065
20250505215000,79910.7,55629.6,57800.0,24281.1,43.6477,10887.9,19.5721
20250505215500,79905.3,55309.5,57800.0,24595.8,44.4694,11242.8,20.3271
20250505220000,79904.0,55487.3,57800.0,24416.7,44.0042,11031.3,19.8807
20250505220500,79947.1,55765.9,57800.0,24181.2,43.362,10736.9,19.2535
20250505221000,79944.1,55560.8,57800.0,24383.3,43.8859,10772.8,19.3893
20250505221500,79935.3,55418.4,57800.0,24516.9,44.2397,10742.4,19.3842
20250505222000,79918.5,55006.4,57800.0,24912.1,45.2894,10878.0,19.7759
20250505222500,79924.1,54963.4,57800.0,24960.7,45.4132,10934.1,19.8935
20250505223000,79733.6,55092.8,57800.0,24640.9,44.7261,10682.9,19.3908
20250505223500,79720.4,54945.7,57800.0,24774.7,45.0894,10203.6,18.5703
20250505224000,79721.1,54607.9,57800.0,25113.1,45.9881,10307.2,18.8749
20250505224500,79722.4,54493.2,57800.0,25229.1,46.2978,10361.9,19.0149
20250505225000,79725.7,54568.9,57800.0,25156.8,46.101,10052.8,18.4222
20250505225500,79746.1,54384.4,57800.0,25361.7,46.6341,10115.8,18.6006
20250505230000,79774.2,54454.8,57800.0,25319.4,46.4962,9987.47,18.3408
20250505230500,79842.1,54455.8,57800.0,25386.3,46.6183,10030.2,18.419
20250505231000,79847.7,54597.4,57800.0,25250.3,46.2482,9895.54,18.1246
20250505231500,79844.0,54641.2,57800.0,25202.8,46.1242,9796.94,17.9296
20250505232000,79846.9,54321.7,57800.0,25525.2,46.989,9932.75,18.285
20250505232500,79848.0,54019.1,57800.0,25828.9,47.8144,10144.3,18.7791
20250505233000,79849.2,53629.2,57800.0,26220.0,48.8913,10246.0,19.1052
20250505233500,79840.5,53731.0,57800.0,26109.5,48.593,9936.41,18.4929
20250505234000,79840.5,53376.9,57800.0,26463.6,49.5787,10143.5,19.0036
20250505234500,79844.7,53020.3,57800.0,26824.4,50.5926,10154.2,19.1515
20250505235000,79846.1,52680.7,57800.0,27165.5,51.5663,10413.2,19.7667
20250505235500,79844.2,52451.5,57800.0,27392.7,52.2249,10503.0,20.0242
20250506000000,79834.3,51938.9,59300.0,27895.4,53.708,10835.9,20.8628
20250506000500,80929.8,51660.1,59300.0,29269.7,56.6582,10720.3,20.7516
20250506001000,81798.0,51780.0,59300.0,30018.1,57.9724,10412.8,20.1098
20250506001500,81799.5,51454.1,59300.0,30345.3,58.9756,10223.3,19.7404
20250506002000,81794.0,51036.6,59300.0,30757.5,60.2656,10605.7,20.6456
20250506002500,81785.0,50824.3,59300.0,30960.7,60.9171,10844.1,21.1974
20250506003000,81773.4,50479.4,59300.0,31294.0,61.9936,11132.7,21.9092
20250506003500,81774.7,50440.2,59300.0,31334.5,62.1221,11206.2,22.0714
20250506004000,81776.3,50010.2,59300.0,31766.2,63.5195,11619.1,23.0799
20250506004500,81772.6,49805.1,59300.0,31967.5,64.1851,11807.1,23.5495
20250506005000,81778.4,49632.8,59300.0,32145.6,64.7668,11964.3,23.945
20250506005500,81778.3,49660.6,59300.0,32117.7,64.6744,11989.9,23.9827
20250506010000,81784.1,49417.1,59300.0,32367.0,65.4977,12282.4,24.688
20250506010500,81829.7,49486.1,59300.0,32343.7,65.3592,12258.9,24.6064
20250506011000,81834.5,48918.4,59300.0,32916.1,67.2877,12794.9,25.9784
20250506011500,81849.3,49100.3,59300.0,32749.0,66.6982,12682.2,25.655
20250506012500,81846.6,48503.2,59300.0,33343.4,68.7447,13228.5,27.0782
20250506013000,81859.6,48477.8,59300.0,33381.8,68.86,12901.3,26.2076
20250506013500,81857.1,48757.5,59300.0,33099.6,67.8861,12441.8,25.014
20250506014000,81859.1,48488.3,59300.0,33370.8,68.8224,12699.5,25.6714
20250506014500,81844.6,48513.6,59300.0,33331.1,68.7046,12640.5,25.5405
20250506015000,81850.0,48205.1,59300.0,33644.9,69.7953,12941.8,26.3123
20250506015500,81839.6,48107.9,59300.0,33731.7,70.1168,12978.8,26.4241
20250506020000,81834.2,48074.1,59300.0,33760.1,70.2251,12840.6,26.0686
20250506020500,81872.8,47838.5,59300.0,34034.2,71.1439,13179.7,26.8831
20250506021000,81881.9,47933.6,59300.0,33948.3,70.8237,13138.6,26.743
20250506021500,81883.6,47768.2,59300.0,34115.4,71.4185,13116.1,26.623
20250506022000,81889.2,47680.3,59300.0,34208.9,71.7465,12853.1,25.9677
20250506022500,81894.3,47546.2,59300.0,34348.1,72.2417,12809.3,25.7994
20250506023000,81900.2,47569.8,59300.0,34330.4,72.1684,12905.8,25.9819
20250506023500,81896.4,47417.9,59300.0,34478.5,72.712,13044.2,26.342
20250506024000,81897.5,47487.5,59300.0,34410.0,72.4612,13036.5,26.2885
20250506024500,81905.2,47478.3,59300.0,34426.9,72.5109,13043.2,26.3087
20250506025000,81901.0,47416.7,59300.0,34484.3,72.7259,13089.3,26.4345
20250506025500,81896.3,47196.0,59300.0,34700.2,73.5236,13301.4,26.9864
20250506030000,81903.0,46962.5,59300.0,34940.6,74.4011,13527.2,27.5755
20250506030500,81947.6,47264.8,59300.0,34682.8,73.3798,13261.7,26.8678
20250506031000,81944.2,47000.6,59300.0,34943.7,74.3473,13486.3,27.4693
20250506031500,81949.5,47093.4,59300.0,34856.1,74.0147,13425.2,27.2954
20250506032000,81948.9,46929.4,59300.0,35019.5,74.6215,13580.1,27.699
20250506032500,81939.4,47025.0,59300.0,34914.3,74.2463,13475.4,27.4338
20250506033000,81930.2,46918.6,59300.0,35011.6,74.6219,13594.6,27.7398
20250506033500,81923.3,46941.2,59300.0,34982.2,74.5235,13545.6,27.6283
20250506034000,81914.9,46963.8,59300.0,34951.2,74.4216,13586.1,27.6966
20250506034500,81911.2,46863.2,59300.0,35048.0,74.7878,13696.2,27.9751
20250506035000,81909.0,47103.5,59300.0,34805.5,73.8915,13448.5,27.3387
20250506035500,81909.5,47051.5,59300.0,34857.9,74.0846,13456.3,27.381
20250506040000,81919.2,47268.5,59300.0,34650.6,73.3059,13299.5,26.9469
20250506040500,81960.5,47225.3,59300.0,34735.2,73.5522,13375.5,27.1213
20250506041000,81961.7,47305.6,59300.0,34656.1,73.26,13301.4,26.9267
20250506041500,81967.7,47065.9,59300.0,34901.8,74.1551,13513.1,27.4905
20250506042000,81953.4,47085.1,59300.0,34868.3,74.0539,13511.4,27.4766
20250506042500,81960.2,47524.4,59300.0,34435.8,72.4593,13110.3,26.4259
20250506043000,81965.1,47428.8,59300.0,34536.3,72.8173,13116.7,26.4885
